X.mOTUs2_clade	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15333]	0	0	0	3.88686e-05	3.00509e-05	0	0	0	0	0	0	0	0	0	2.05036e-05	3.24318e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15337]	0	0	0	2.32808e-05	0	0	0	0	0	0	0	0	0	0	1.92186e-05	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15345]	0	0	8.74559e-05	2.53122e-05	0	0	0	0	0	0	0	0	0	0	0	2.25325e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15359]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85374e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15360]	0	0	0	0.0002193253	0	0.0001558027	0.0003341196	0	0	0	0	0	0	0	0.0003235251	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15367]	0	0	5.43047e-05	2.70833e-05	6.53435e-05	0	0	0	0	0	0	0	0	0	1.16659e-05	2.27976e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15385]	0	0	0	0	0	0	0.000253464	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_15393]	0	0	0	2.69263e-05	0	0	0.0012262159	9.75916e-05	0	0	7.34563e-05	0	0	0	5.26329e-05	0.0003079654
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_24602]	0	0	0	2.20642e-05	2.97048e-05	0	0	0	0	0	0	0	0	0	1.83218e-05	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_26125]	0	0	0	0	0.0001796546	0	0.0001907311	0	0	0	0	0.0010076204	0	0	0	0.0004197398
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [ext_mOTU_v3_26913]	0.0001081546	0.0001105442	0	0	3.20543e-05	0	0	0	0.000424034	0	0	0	0.0005724246	0.000163151	0	4.70191e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae gen. incertae sedis|s__Erysipelotrichaceae species incertae sedis [meta_mOTU_v3_13000]	0	0	0.0140314379	0.0089088961	0.0038778149	0.0031671405	0.0018709974	0.0036478793	0	0	0	0	0	0	0.0017170619	0.005759405
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus	0.0007175997	0.001213485	0	4.52048e-05	2.02171e-05	0.0001279808	8.17033e-05	0	0.0028740667	0.0002493645	0.0001105038	0.000178411	0.0089516021	0.0014811269	1.91664e-05	5.40906e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus pleomorphus	0.0007175997	0.001213485	0	4.52048e-05	2.02171e-05	0.0001279808	8.17033e-05	0	0.0028740667	0.0002493645	0.0001105038	0.000178411	0.0089516021	0.0014811269	1.91664e-05	5.40906e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella	0.0018919196	5.27058e-05	0.0123577777	0.0407819785	0.0059684081	0.0320137141	0.011460168	0.0001867672	0.0001684798	0.0032357077	0.0094210006	5.28951e-05	0	6.8835e-05	0.0099533869	0.0296671435
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella biformis [meta_mOTU_v3_12329]	0.0018919196	5.27058e-05	0.0091017659	0.0400613326	0.0058263692	0.0270077518	0.0114161287	0.0001867672	0.0001684798	0.0032357077	0.0094210006	5.28951e-05	0	6.8835e-05	0.0062156533	0.0252117457
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella biformis	0	0	0.0032560118	0.0007206459	0.0001420388	0.0050059624	4.40393e-05	0	0	0	0	0	0	0	0.0037377336	0.0044553978
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	0	0	0	0	0	0	4.03914e-05	0	0	0	0	0	0	0	0	2.24672e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania filiformis	0	0	0	0	0	0	4.03914e-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania sp. Marseille-P2844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24672e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter	0	0	8.64506e-05	1.82149e-05	0.0004416172	0	0.0001907311	0	0	0	0.0159684655	9.27332e-05	0	0	4.772e-06	1.39913e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter sanguinis	0	0	8.64506e-05	0	2.51621e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter sanguinis	0	0	0	1.82149e-05	0.0004164551	0	0.0001907311	0	0	0	0.0158730702	7.38164e-05	0	0	4.772e-06	1.39913e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter species incertae sedis [ext_mOTU_v3_15409]	0	0	0	0	0	0	0	0	0	0	9.53953e-05	1.89168e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichia order incertae sedis	0	0	6.36043e-05	0	0	0	0	0	0	0	0	0	0	0	2.19727e-05	0.0001316275
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichia order incertae sedis|f__Erysipelotrichia fam. incertae sedis	0	0	6.36043e-05	0	0	0	0	0	0	0	0	0	0	0	2.19727e-05	0.0001316275
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichia order incertae sedis|f__Erysipelotrichia fam. incertae sedis|g__Erysipelotrichia gen. incertae sedis	0	0	6.36043e-05	0	0	0	0	0	0	0	0	0	0	0	2.19727e-05	0.0001316275
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichia order incertae sedis|f__Erysipelotrichia fam. incertae sedis|g__Erysipelotrichia gen. incertae sedis|s__Erysipelotrichia species incertae sedis [ext_mOTU_v3_15366]	0	0	6.36043e-05	0	0	0	0	0	0	0	0	0	0	0	2.19727e-05	0.0001316275
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0	1.20631e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]	0	1.20631e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]|f__Firmicutes fam. [Erysipelotrichaceae/Peptostreptococcaceae]	0	1.20631e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]|f__Firmicutes fam. [Erysipelotrichaceae/Peptostreptococcaceae]|g__Firmicutes gen. [Erysipelatoclostridium/Clostridioides]	0	1.20631e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]|f__Firmicutes fam. [Erysipelotrichaceae/Peptostreptococcaceae]|g__Firmicutes gen. [Erysipelatoclostridium/Clostridioides]|s__Firmicutes sp.	0	1.20631e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Negativicutes]	0.0003356441	0.0023802249	0	0	0	0	0	0	0.0004044321	0.0002070597	0	0.0001417428	0	0.001951256	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Negativicutes]|o__Firmicutes order [Veillonellales/Clostridiales]	0.0003356441	0.0023802249	0	0	0	0	0	0	0.0004044321	0.0002070597	0	0.0001417428	0	0.001951256	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Negativicutes]|o__Firmicutes order [Veillonellales/Clostridiales]|f__Firmicutes fam. [Veillonellaceae/Ruminococcaceae]	0.0003356441	0.0023802249	0	0	0	0	0	0	0.0004044321	0.0002070597	0	0.0001417428	0	0.001951256	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Negativicutes]|o__Firmicutes order [Veillonellales/Clostridiales]|f__Firmicutes fam. [Veillonellaceae/Ruminococcaceae]|g__Firmicutes gen. [Ruminococcus/Megasphaera]	0.0003356441	0.0023802249	0	0	0	0	0	0	0.0004044321	0.0002070597	0	0.0001417428	0	0.001951256	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Negativicutes]|o__Firmicutes order [Veillonellales/Clostridiales]|f__Firmicutes fam. [Veillonellaceae/Ruminococcaceae]|g__Firmicutes gen. [Ruminococcus/Megasphaera]|s__Firmicutes sp.	0.0003356441	0.0023802249	0	0	0	0	0	0	0.0004044321	0.0002070597	0	0.0001417428	0	0.001951256	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0102690985	0.0039583019	0.0150385624	0.0065327074	0.0078553206	0.0155472602	0.0120562271	0.0197529672	0.010224663	0.007844196	0.0107104144	0.0079875271	0	0.0075399889	0.0103753322	0.0041427837
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis	0.0102690985	0.0039583019	0.0150385624	0.0065327074	0.0078553206	0.0155472602	0.0120562271	0.0197529672	0.010224663	0.007844196	0.0107104144	0.0079875271	0	0.0075399889	0.0103753322	0.0041427837
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis	0.0102690985	0.0039583019	0.0150385624	0.0065327074	0.0078553206	0.0155472602	0.0120562271	0.0197529672	0.010224663	0.007844196	0.0107104144	0.0079875271	0	0.0075399889	0.0103753322	0.0041427837
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis|g__Firmicutes gen. incertae sedis	0.0102690985	0.0039583019	0.0150385624	0.0065327074	0.0078553206	0.0155472602	0.0120562271	0.0197529672	0.010224663	0.007844196	0.0107104144	0.0079875271	0	0.0075399889	0.0103753322	0.0041427837
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis|g__Firmicutes gen. incertae sedis|s__Firmicutes bacterium CAG:114	4.45625e-05	0	0	0	0	0	0	0	0	0	0	0.0004224764	0	0.0020770828	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis|g__Firmicutes gen. incertae sedis|s__Firmicutes bacterium CAG:646	0.0005269238	0.0012209219	0.0035063898	0.0021329232	0.0012888973	0.0008760924	0.0009997867	0.0057315178	0.0092878242	0.0008412123	6.58597e-05	0.0003364655	0	0.0013237646	0.0013563892	0.0021139622
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis|g__Firmicutes gen. incertae sedis|s__Firmicutes species incertae sedis [ext_mOTU_v3_18087]	0	0	7.35885e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis|g__Firmicutes gen. incertae sedis|s__Firmicutes species incertae sedis [ext_mOTU_v3_24910]	0	0	0.0018492865	0.001755822	0.0004679119	0.0023933191	0.0009225902	0	0	0	0	0	0	0	0.0051242463	0
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis|g__Firmicutes gen. incertae sedis|s__Firmicutes species incertae sedis [meta_mOTU_v3_12227]	0.0095584784	0.00273738	0.0096092976	0.0026439622	0.0060985114	0.0122778487	0.0101338502	0.0140214494	0.0009368388	0.0070029837	0.0106445546	0.0072285851	0	0.0041391415	0.0038946967	0.0020288214
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis|f__Firmicutes fam. incertae sedis|g__Firmicutes gen. incertae sedis|s__Firmicutes species incertae sedis [meta_mOTU_v3_13969]	0.0001391339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.1464160707	0.1090781066	0.3000706533	0.0140662041	0.1502417174	0.0537808465	0.0392956017	0.0279621814	0.0092059418	0.1123535733	0.1015852455	0.1161270721	0	0.1617979322	0.0615449773	0.0523763596
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.0080886508	0	0.0612994324	0.01003746	0.092551504	0.0340791315	0.0211429941	0.0028229727	0.0001418516	0.0009160214	1.48177e-05	0.0027625946	0	0.0047431133	0.0516752899	0.0121726193
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.0080886508	0	0.0612994324	0.01003746	0.092551504	0.0340791315	0.0211429941	0.0028229727	0.0001418516	0.0009160214	1.48177e-05	0.0027625946	0	0.0047431133	0.0516752899	0.0121726193
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	0.0080886508	0	0.0481554885	0.0003005671	0.0857243368	0.0104325801	5.01489e-05	0	0.0001418516	0.0007016584	1.48177e-05	0.0025908351	0	0.0042872414	0.0177424984	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus intestini	0.0080886508	0	0	0	0	0	0	0	0.0001418516	0.0007016584	1.48177e-05	0.0025908351	0	0.0042872414	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus massiliensis	0	0	0.0001769696	5.83566e-05	0.0003156979	0.0002138366	5.01489e-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus species incertae sedis [meta_mOTU_v3_12530]	0	0	0.0479785189	0.0002422105	0.0854086389	0.0102187435	0	0	0	0	0	0	0	0	0.0177424984	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	0	0	0.0131439439	0.0097368929	0.0068271672	0.0236465514	0.0210928452	0.0028229727	0	0.000214363	0	0.0001717594	0	0.0004558718	0.0339327915	0.0121726193
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium sp. CAG:266	0	0	0	0	0	0	0	0	0	0.000214363	0	0.0001717594	0	0.0004558718	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium species incertae sedis [ext_mOTU_v3_15358]	0	0	0	3.77754e-05	2.48106e-05	0	0	0	0	0	0	0	0	0	2.03263e-05	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium succinatutens [meta_mOTU_v3_13061]	0	0	0.0131439439	0.0096991175	0.0068023566	0.0236465514	0.0210928452	0.0028229727	0	0	0	0	0	0	0.0339124652	0.0121726193
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0403651381	0.0340164036	0.0293806123	0.0010659651	0.0054664925	0.0079099203	0.0138515382	0.0017562361	0.0007051345	0.0408863914	0.0128556993	0.028872477	0	0.0371222016	0.008888537	0.0257440907
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	0.0403651381	0.0340164036	0.0293806123	0.0010659651	0.0054664925	0.0079099203	0.0138515382	0.0017562361	0.0007051345	0.0408863914	0.0128556993	0.028872477	0	0.0371222016	0.008888537	0.0257440907
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas	0.0403651381	0.0340164036	0.0293806123	0.0010659651	0.0054664925	0.0079099203	0.0138515382	0.0017562361	0.0007051345	0.0408863914	0.0128556993	0.028872477	0	0.0371222016	0.008888537	0.0257440907
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis/rupellensis	0.0403651381	0.0340164036	0.028239479	0.0007297929	0.0008945999	0.0029547838	0.0022985884	0.0009040733	0.0007051345	0.0408863914	0.0128556993	0.028872477	0	0.0371222016	0.0056042846	0.0121871171
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas species incertae sedis [ext_mOTU_v3_15347]	0	0	0.0011411333	0.0003361722	0.0045718926	0.0049551366	0.0115529498	0.0008521628	0	0	0	0	0	0	0.0032842524	0.0135569736
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0979622818	0.075061703	0.2093906087	0.002962779	0.052223721	0.0117917947	0.0043010694	0.0233829726	0.0083589557	0.0705511606	0.0887147285	0.0844920006	0	0.1199326173	0.0009811505	0.0144596496
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.0979622818	0.075061703	0.2093906087	0.002962779	0.052223721	0.0117917947	0.0043010694	0.0233829726	0.0083589557	0.0705511606	0.0887147285	0.0844920006	0	0.1199326173	0.0009811505	0.0144596496
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella	0.0003062518	0	0.0036476899	0.0002689851	0.0006631944	0.0005493103	0.0006365319	0.0003645862	0	0.0001034857	7.54575e-05	0.0002399412	0	0.0001737246	0.0004939912	0.0014772623
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans	0.0003062518	0	0.0036476899	0.0002689851	0.0006631944	0.0005493103	0.0006365319	0.0003645862	0	0.0001034857	7.54575e-05	0.0002399412	0	0.0001737246	0.0004939912	0.0014772623
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter	0.0006798713	0	0	0	0	0	0	0	0	0.0001019867	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter|s__Caecibacter massiliensis	0.0006798713	0	0	0	0	0	0	0	0	0.0001019867	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	0.0738999868	0.0460153204	0	0	0	0	0	0	0.0037188134	0.0578577498	0.057146283	0.0561024021	0	0.0946598427	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister sp. CAG:486	0.0227837762	0.0134288331	0	0	0	0	0	0	0.0013848923	0.0305506928	0.0279643396	0.0247946787	0	0.0443570765	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister species incertae sedis [meta_mOTU_v3_12686]	0.0511162106	0.0325864873	0	0	0	0	0	0	0.002333921	0.027307057	0.0291819434	0.0313077234	0	0.0503027662	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	0.0206651409	0.0003646152	0.2031301792	0.0022522768	0.0505627003	0.0107768687	0.0029357758	0.0225119276	0.0003405771	0.0086583675	0.0308839576	0.0267683574	0	0.00021286	0	0.0114064014
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii	0.0206651409	0	0.2030634723	0.0022470462	0.0504183455	0.0107768687	0.0029357758	0.0225119276	0.0002272284	0.0086583675	0.0308408891	0.0267683574	0	0	0	0.0113892148
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera sp.	0	0	0	5.2306e-06	0.0001198343	0	0	0	0	0	4.30685e-05	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera species incertae sedis [ext_mOTU_v3_17870]	0	0	6.67069e-05	0	2.45205e-05	0	0	0	0	0	0	0	0	0	0	1.71867e-05
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera species incertae sedis [ext_mOTU_v3_26446]	0	0.0003646152	0	0	0	0	0	0	0.0001133487	0	0	0	0	0.00021286	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonellaceae gen. incertae sedis	0.002411031	0.0286817674	0.0026127395	0.0004415171	0.0009978262	0.0004656157	0.0007287616	0.0005064588	0.0042995652	0.0038295708	0.0006090304	0.0013812999	0	0.0248861901	0.0004871592	0.0015759858
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonellaceae gen. incertae sedis|s__Veillonellaceae species incertae sedis [ext_mOTU_v3_17928]	0	4.48861e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonellaceae gen. incertae sedis|s__Veillonellaceae species incertae sedis [ext_mOTU_v3_26331]	0.0005976176	0	0.0026127395	0.0004415171	0.0009978262	0.0004656157	0.0007287616	0.0005064588	0	0.0005141746	5.52403e-05	0.0002937865	0	0.0004342037	0.0004871592	0.0015759858
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonellaceae gen. incertae sedis|s__Veillonellaceae species incertae sedis [meta_mOTU_v3_13255]	0.0018134134	0.0286368813	0	0	0	0	0	0	0.0042995652	0.0033153962	0.0005537901	0.0010875134	0	0.0244519864	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia	0.0001636657	0.0003974036	0	0	0	0	0	0	5.64026e-05	0	0	0	5.00343e-05	0.0002868477	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.0001636657	0.0003974036	0	0	0	0	0	0	5.64026e-05	0	0	0	5.00343e-05	0.0002868477	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	0.0001636657	0.0003974036	0	0	0	0	0	0	5.64026e-05	0	0	0	5.00343e-05	0.0002868477	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus	0.0001636657	2.85044e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus obesiensis/vaginalis	0	2.85044e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus species incertae sedis [ext_mOTU_v3_18104]	0.0001636657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia	0	0.0002085634	0	0	0	0	0	0	5.64026e-05	0	0	0	0	5.90136e-05	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia species incertae sedis [ext_mOTU_v3_17724]	0	8.84691e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia species incertae sedis [ext_mOTU_v3_17725]	0	0.0001200943	0	0	0	0	0	0	5.64026e-05	0	0	0	0	5.90136e-05	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus	0	0.0001603358	0	0	0	0	0	0	0	0	0	0	5.00343e-05	0.0002278341	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus grossensis	0	0	0	0	0	0	0	0	0	0	0	0	5.00343e-05	0.0001033664	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus species incertae sedis [ext_mOTU_v3_17321]	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001244677	0	0
